Sample,Experiment,Time,H2O2,Std_Dev
Granite,<45um,2,3.358659,0.157297
Granite,<45um,4,1.618016,0.507084
Granite,<45um,8,4.993601111,0.948545061
Granite,<45um,12,6.839238667,1.088939285
Granite,<45um,24,4.138194,0.33208059
Granite,<45um,48,5.398400444,1.001018407
Basalt,<45um,2,2.173719111,0.83967955
Basalt,<45um,4,1.650115111,1.053697253
Basalt,<45um,8,3.917667778,0.617035233
Basalt,<45um,12,3.437229778,0.969713971
Basalt,<45um,24,5.135611667,0.405559544
Basalt,<45um,48,4.557594667,1.058013041
