Sample,Experiment,Time,H2,Std_Dev,,
Basalt_ctrl,106-150um,48,-0.140140892,0.039205156,,
Granite,106-150um,0,0.404312178,0.036495492,,
Granite,106-150um,3,0.303194183,0.076984812,,
Granite,106-150um,7,0.257853854,0.041836818,,
Granite,106-150um,12,0.177244043,0.037460522,,
Granite,106-150um,24,0.187848215,0.022916438,,
Granite,106-150um,48,0.422253275,0.080212971,,
Sandstone,106-150um,0,0.444006615,0.117223539,,
Sandstone,106-150um,3,0.411513029,0.071869366,,
Sandstone,106-150um,7,0.117520896,0.040011481,,
Sandstone,106-150um,12,0.116287631,0.042746189,,
Sandstone,106-150um,24,0.062313651,0.005774765,,
Sandstone,106-150um,48,0.097023437,0.039446723,,
Basalt,106-150um,0,0.388432197,0.043436076,,
Basalt,106-150um,3,0.312832324,0.127549498,,
Basalt,106-150um,7,0.11906909,0.085485249,,
Basalt,106-150um,12,0.284961118,0.083991873,,
Basalt,106-150um,24,0.435795664,0.103399541,,
Basalt,106-150um,48,0.908440123,0.066240938,,
H2O,<45 sea,0,3.375939807,0.725551932,,
H2O,<45 sea,3,-0.261742914,0.258761506,,
H2O,<45 sea,7,-0.786159779,0.19534053,,
H2O,<45 sea,12,-0.962506388,0.274777051,,
H2O,<45 sea,24,-1.098712721,0.320035179,,
H2O,<45 sea,48,-1.247526049,0.33938576,,
Granite_ctrl,<45 sea,0,31.53065745,28.87126691,,
Granite_ctrl,<45 sea,3,-8.510093684,11.73917034,,
Granite_ctrl,<45 sea,7,-10.45950044,10.15519772,,
Granite_ctrl,<45 sea,12,-25.04755408,32.15000345,,
Granite_ctrl,<45 sea,24,-16.1399383,15.90691673,,
Granite_ctrl,<45 sea,48,-16.48043198,15.51281012,,
Basalt_ctrl,<45 sea,0,4.497020721,1.403698351,,
Basalt_ctrl,<45 sea,3,0.15283235,1.482122289,,
Basalt_ctrl,<45 sea,7,-0.496195511,0.760107968,,
Basalt_ctrl,<45 sea,12,-2.56391618,1.161883673,,
Basalt_ctrl,<45 sea,24,-1.06991386,0.435070103,,
Basalt_ctrl,<45 sea,48,-3.728825826,1.314510782,,
Granite,<45 sea,0,30.96091304,10.16660972,,
Granite,<45 sea,3,66.79011269,13.20196926,,
Granite,<45 sea,7,175.724877,34.82657191,,
Granite,<45 sea,12,279.2365815,51.00021182,,
Granite,<45 sea,24,269.2545968,89.03302032,,
Granite,<45 sea,48,237.9875495,80.90509203,,
Basalt,<45 sea,0,16.60314948,11.79095051,,
Basalt,<45 sea,3,-1.084661181,3.922978966,,
Basalt,<45 sea,7,6.916538065,6.798919726,,
Basalt,<45 sea,12,21.99953639,8.407080264,,
Basalt,<45 sea,24,39.94340387,9.518791905,,
Basalt,<45 sea,48,184.6779101,18.60336219,,
